province, district, name, HMIS_code, facility_type,   latitude, longitude
Central,Chibombo,Chamakubi Health Post,10010001,Health Centre,-14.79990288,27.64199073
Central,Chibombo,Kabangalala,10010011,Health Centre,-15.16894184,27.72865541
Lusaka,Luangwa,Kaunga Health Post,50050009,Health Centre,-15.08780097,30.19014764
Lusaka,Luangwa,Kavalamanja,50050010,Health Centre,-15.61518059,30.26324881
Lusaka,Luangwa,Luangwa Boma,50050011,Health Centre,-15.62393008,30.40786497
Lusaka,Luangwa,Luangwa District Hospital,50050012,Health Centre,-15.55042326,30.35036285
Lusaka,Luangwa,Luangwa High School,50050013,Health Centre,-15.27652538,30.27361798
Lusaka,Luangwa,Mandombe,50050014,Health Centre,-15.58268986,30.37472326
Lusaka,Luangwa,Mangelengele Health Post,50050015,Health Centre,-15.19276435,30.18119585
Lusaka,Luangwa,Mphuka,50050016,Health Centre,-15.43691478,30.36007354
Lusaka,Luangwa,Sinyawagora,50050017,Health Centre,-15.05605656,30.20805029
Lusaka,Lusaka,Airport,50060007,Health Centre,-15.3256284,28.44641385
Central,Kabwe,Kasanda,10050024,Health Centre,-14.4554119,28.42630423
Lusaka,Lusaka,Arakan Camp Hospital,50060011,Health Centre,,
Lusaka,Lusaka,Bauleni,50060015,Health Centre,-15.44684775,28.37350943
Lusaka,Lusaka,Cancer Diseases Hospital,50060024,Health Centre,-15.43377874,28.31299055
Lusaka,Lusaka,Chainama,5006XX35,Health Centre,-15.38419214,28.35561861
Lusaka,Lusaka,Chainda South Clinic,5006XXHZ,Health Centre,-15.41013667,28.38073128
Lusaka,Lusaka,Chainda,50060030,Health Centre,-15.38927961,28.40427613
Lusaka,Lusaka,Chaisa,50060032,Health Centre,-15.38430673,28.28295979
Lusaka,Lusaka,Chawama Hospital,50060035,Health Centre,-15.46169301,28.28289296
Central,Kabwe,Kasavasa,10050025,Health Centre,-14.57748609,28.37785131
Lusaka,Lusaka,Chazanga,50060036,Health Centre,-15.33868401,28.28558592
Lusaka,Lusaka,Chilenje Hospital,50060042,Health Centre,-15.44956492,28.33785619
Lusaka,Lusaka,Chimwemwe Health Post,50060044,Health Centre,-15.35249891,28.3072707
Lusaka,Lusaka,Chipata Hospital,50060046,Health Centre,-15.370334,28.294195
Lusaka,Lusaka,Chisomo Hospital,50060048,Health Centre,-15.41879415,28.25828756
Lusaka,Lusaka,Chunga Health Post,50060051,Health Centre,-15.357496,28.251906
Lusaka,Lusaka,Circle of Hope,50060055,Health Centre,,
Lusaka,Lusaka,Civic Centre,50060059,Health Centre,-15.42087859,28.30247209
Central,Kabwe,Katondo,10050026,Health Centre,-14.45668591,28.47174593
Lusaka,Lusaka,Evelyn Hone College Health Post,50060087,Health Centre,-15.41635608,28.2903338
Lusaka,Lusaka,Freedom,50060100,Health Centre,-15.53623705,28.2714221
Lusaka,Lusaka,Garden Health Post,50060104,Health Centre,-15.39820912,28.29355563
Lusaka,Lusaka,George,50060106,Health Centre,-15.37944064,28.23875386
Lusaka,Lusaka,Kabwata,50060129,Health Centre,-15.43504529,28.30869025
Lusaka,Lusaka,Kalingalinga,50060131,Health Centre,-15.40664087,28.33005532
Lusaka,Lusaka,Kamulanga Health Post,50060133,Health Centre,-15.47980405,28.30509918
Central,Kabwe,Kawama,10050027,Health Centre,-14.42039055,28.42841636
Lusaka,Lusaka,Kamwala,50060135,Health Centre,-15.42852385,28.28969438
Lusaka,Lusaka,Kanyama Hospital,50060136,Health Centre,-15.42824386,28.26088607
Lusaka,Lusaka,Kanyama West,50060138,Health Centre,-15.42639072,28.23548172
Lusaka,Lusaka,Kaunda Square,50060140,Health Centre,-15.3725381,28.35133253
Lusaka,Lusaka,Levy Mwanawasa Teaching Hospital,50060146,Health Centre,-15.38524047,28.3530784
Lusaka,Lusaka,Lilayi,50060153,Health Centre,-15.52280568,28.30193696
Lusaka,Lusaka,Lusaka Central Prison,50060241,Health Centre,,
Lusaka,Lusaka,Maina Soko Military Hospital,50060172,Health Centre,-15.43550171,28.33576673
Central,Kabwe,KIFCO Health Post,1005XX38,Health Centre,,
Lusaka,Chilanga,Makeni Konga,50010008,Health Centre,-15.485434,28.177014
Lusaka,Lusaka,Mandevu,50060180,Health Centre,-15.37203313,28.28919003
Lusaka,Lusaka,Matero Main,50060184,Health Centre,-15.38162639,28.26345486
