Chikankata,Manyonyo 
Chikankata,Moobe
Chikankata,Simwambwa 
Chikankata,Terranova
Choma,Chilantambo
Choma,Harmony
Choma,Jembo - 8010130
Choma,Kabanze
Choma,Kamwanu - 8010140
Choma,Chumbabeenzu
Choma,Demu 
Pemba,Kanchomba - 8010150
Choma,Masuku Mines Terminal - 8010370
Choma,Masuku Mission - 8010210
Choma,Mochipapa - 8010230
Pemba,Kasikili - 8010440
Choma,Nakempa - 8010340
Pemba,Kazimaulu - 8010400
Gwembe,Bbondo - 8020170
Gwembe,Chabbobboma - 8020110
Gwembe,Chipepo (Gwembe) - 8020130
Gwembe,Chisanga
Gwembe,Lukonde - 8020150
Gwembe,Luumbo - 8020160
Gwembe,Mukuyu 
Kalomo,Bbilili
Kalomo,Bulyambeba
Kalomo,Chifusa - 8040230
Kalomo,Chilala - 8040240
Kalomo,Choonga - 8040210
Kalomo,Dimbwe - 8040190
Kalomo,Habulile - 8040320
Kazungula,Kabuyu - 8050180
Kalomo,Kalemu
Kalomo,Kalonda - 8040270
Kazungula,Katapazi - 8050200
Kazungula,Katombora - 8050110
Zimba,Luyaba (Kalomo) - 8040290
Kalomo,Mabombo - 8040390
Kazungula,Makunka - 8050140
Kazungula,Mandia - 8050270
Kazungula,Manyemunyemu
Zimba,Mapatizya - 8040160
Kalomo,Masempela - 8040180
Kalomo,Mayoba
Kazungula,Moomba (Kazungula) - 8050160
Kalomo,Moonde
Kalomo,Mubanga - 8040250
Kalomo,Mukwela - 8040200
Kalomo,Munkolo - 8040370
Kazungula,Musokotwane - 8050170
Zimba,Muzya - 8040400
Zimba,Nakowa - 8040350
Kalomo,Naluja
Monze,Banakaila - 8080230
Monze,Beengwa - 8080200
Monze,Charles Lwangwa - 8080170
Monze,Hamangaba - 8080270
Monze,Hamapande - 8080190
Monze,Kanundwa - 8080290
Monze,Katimba - 8080260
Monze,Kaumba - 8080320
Monze,Luyaba (Monze) - 8080210
Monze,Malundu - 8080350
Monze,Moomba (Monzze) - 8080100
Pemba,Moyo - 8010240
Pemba,Ndodi - 8010170
Siavonga,Chaanga - 8110190
Siavonga,Manchanvwa - 8110160
Livingstone,Kasiya - 8060310
Chikankata,Chikokomene - 8070110
Monze,Moonzwe - 8080240
Gwembe,Munyumbwe - 8020100
Siavonga,Nabutezi
Choma,Pangwe
Pemba,Pemba Sub - 8010360
Choma,Siamuleya
Choma,Popota - 8010270
Choma,Prisons Choma
Pemba,Simoya
Choma,Sibanyati
Choma,Sikalongo - 8010300
Choma,Simakutu - 8010430
Gwembe,Nyanga/Chaamwe - 8020140
Gwembe,Sinafala - 8020120
Kalomo,Nameto - 8040330
Kalomo,Namwianga - 8040280
Kazungula,Nanyati - 8050280
Kalomo,Nazilongo 
Kazungula,Ngwezi - 8050230
Kazungula,Sekute - 8050150
Kalomo,Siabunkululu - 8040260
Kazungula,Siakasipa - 8050240
Zimba,Siamafumba
Zimba,Simalundu
Monze,Nadongo
Monze,Nampeyo
Monze,Nadogo 
Siavonga,Namoomba
Siavonga,Sianyolo - 8110200
Mazabuka,Kangila 
Kazungula,Simango - 8050210
Choma,Simaubi - 8010290
Kazungula,Sinde - 8050190
Monze,Nteme - 8080340
Choma,Simeno 
Choma,Simukanka
Kazungula,Singwamba 
Kalomo,Sipatunyana - 8040110
Mazabuka,MGM 
Monze,Rusangu - 8080150
Monze,Siatontola - 8080180
Monze,St. Marys - 8080330
Mazabuka,Nanga Farms PLC
Choma,ZNS Choma Camp Hospital - 8010310
